"Profitmetrics","Profitmetrics"
"Settings","Settings"
"General Settings","General Settings"
"Enabled","Enabled"
"Store Public Id","Store Public Id"
"Store ID from ProfitMetrics","Store ID from ProfitMetrics"
"Cron Frequency","Cron Frequency"
"Start Time","Start Time"
"Price Buy Attribute Code","Price Buy Attribute Code"
"Attribute code for price_buy attribute. There is a default attribute, created by this module, its code is 'price_buy'. In the case of different attribute, please look for the attribute in Magento admin (Catalog > Attributes > Manage Attributes and specify the attribute code","Attribute code for price_buy attribute. There is a default attribute, created by this module, its code is 'price_buy'. In the case of different attribute, please look for the attribute in Magento admin (Catalog > Attributes > Manage Attributes and specify the attribute code"
"Feed Filename","Feed Filename"
"Feeds are accessible by the URL /media/profitmetrics/products{{store}}.xml, where {{store}} is the store code (for example <a href=""%s"" target=""_blank"">products_%s.xml</a>). Please select the specific name in your store scope in order to save in a different file.","Feeds are accessible by the URL /media/profitmetrics/products{{store}}.xml, where {{store}} is the store code (for example <a href=""%s"" target=""_blank"">products_%s.xml</a>). Please select the specific name in your store scope in order to save in a different file."
"Unable to save the cron expression.","Unable to save the cron expression."
"Every 15 minutes","Every 15 minutes"
"Twice a hour","Twice a hour"
"Hourly","Hourly"
"Daily","Daily"
"Weekly","Weekly"
"Monthly","Monthly"
"Source for configurable products price","Source for configurable products price"
"There are two options for configurable prices determination: 1) get from the configurable product 2) retrieve the minimal price of related simple options.","There are two options for configurable prices determination: 1) get from the configurable product 2) retrieve the minimal price of related simple options."
"Get from parent configurable product","Get from parent configurable product"
"Calculate the minimum from related simple options","Calculate the minimum from related simple options"
