"You will be redirected to the Paysafecash website when you place an order.","You will be redirected to the Paysafecash website when you place an order."
"You will be redirected to Paysafecash in a few seconds.","You will be redirected to Paysafecash in a few seconds."
"Paysafecash is a cash payment option. Generate a QR/barcode and pay at a nearby shop. More information and our payment points can be found at <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a>","Paysafecash è un metodo di pagamento in contanti. Genera un QR/codice a barre e paga in un negozio vicino a te. Puoi trovare maggiori informazioni e le nostre filiali partner sul sito <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a>"
"If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set.","If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set."
"This key is provided by the paysafecash support team. There is one key for the test- and one for production environment.","This key is provided by the paysafecash support team. There is one key for the test- and one for production environment."
"This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems.","This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems."
"Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team.","Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team."
"Paysafecash","Paysafecash"
"<a href=""/#"">Here</a> you can find the Installation instructions","<a href=""/#"">Here</a> you can find the Installation instructions"
"%s Your payment was successful. Thank you for paying with Paysafecash. Transaction ID: %s","%s Il pagamento è stato effettuato con successo. Grazie per aver pagato con Paysafecash. Numero transazione: %s"
"Thank you for your order! Please find the nearest payment point to pay.","Grazie per l'ordine! Si prega di andare alla filiale partner più vicina per pagare."
"Unfortunately, a technical error has occurred. Please try again later or contact the Support Team.","Purtroppo si è verificato un errore tecnico. Riprova più tardi, oppure contatta il nostro Support-Team."
"%s Payment interrupted! Transaction number: %s","%s Pagamento interrotto! Numero transazione: %s"
"https://www.paysafecash.com/en/","https://www.paysafecash.com/en/"
"PAY WITH CASH: Generate a barcode and go to a <a href=""https://www.paysafecash.com/pos"" target=""blank"">payment point near you</a> to complete the payment.","PAGAMENTO IN CONTANTI: Generare un codice a barre o andare alla <a href=""https://www.paysafecash.com/pos"" target=""blank"">filiale partner più vicina</a> per completare il pagamento."
